actual,1-day ahead,2-day ahead,3-day ahead,4-day ahead,5-day ahead,6-day ahead
0.1052098656935979,0.10468354642391205,0.1647950029373169,0.16697872877120972,0.1627411878108978,0.16194551706314087,0.10669955253601074
0.072876029268479,0.09921610176563263,0.0914491844177246,0.06245220184326172,0.0901575082540512,0.06292304039001465,0.09843770265579224
0.001585216743404,0.0684339439868927,0.06637860774993896,0.06326805531978607,0.06581277132034302,0.0607447725534439,0.06390217423439026
0.0759748199377184,0.06033847749233246,0.06451742947101593,0.09085633873939514,0.09497113466262817,0.06584190845489502,0.06492984771728516
0.1375465678314196,0.19104623198509216,0.1279693102836609,0.1973111653327942,0.1941019916534424,0.12952682971954346,0.19542617082595825
0.1945169363620732,0.18865681886672974,0.197173627614975,0.1894124972820282,0.1938889592885971,0.1846872591972351,0.19300768971443176
0.0,0.00552433907985687,0.00558881223201752,0.0000632745027542,0.00546643137931824,0.0078677535057068,0.00153693437576294
0.1026612918632863,0.16577739834785461,0.1692675292491913,0.16236075162887573,0.1699187034368515,0.10151548624038696,0.1623045814037323
0.0664181456928337,0.0935910212993622,0.0555445444583893,0.0544065225124359,0.09640857636928558,0.09510404348373413,0.0552054798603058
0.3312400894102362,0.322248917222023,0.32762720823287964,0.39418980836868286,0.39469887137413025,0.32199744522571564,0.3950198233127594
0.2406625527768756,0.29080489039421082,0.23643748462200165,0.29690339922904968,0.29991497814655304,0.2951464480161667,0.23496720731258392
0.1412041724776952,0.19221529603004456,0.1353738236427307,0.19754023849964142,0.13412005484104156,0.1941847312450409,0.1956064075231552
0.2153468467607893,0.2009801298379898,0.2733001321554184,0.2016128396987915,0.27139622151851654,0.20221525847911835,0.20357833683490753
0.2533223162600538,0.24687002897262573,0.2464286321401596,0.2942064869403839,0.24214346706867218,0.29125569224357605,0.24743273973464966
0.236013225074671,0.22017727673053741,0.22019391059875488,0.29509116351604462,0.2227876889705658,0.2239443278312683,0.2273054838180542
0.1912352176986416,0.18601174533367157,0.19392848432064056,0.1896699070930481,0.184561168551445,0.19195540249347687,0.19401195108890533
0.1646700609441568,0.1557354176044464,0.15462503612041473,0.19941461086273193,0.1523603767156601,0.15233128547668457,0.15920231103897095
0.5034063771660011,0.50165419816970825,0.5615971404314041,0.56151368856430054,0.56615816235542297,0.5618793845176697,0.56687159180641174
0.2269888046157079,0.28212415397167206,0.28573185920715332,0.21660609126091003,0.21188195168972015,0.2168349039554596,0.289541774392128
0.3344501652560991,0.39724374413490295,0.3296212828159332,0.32036187052726746,0.32513267636299133,0.325667906999588,0.3285716772079468
0.1439452266778748,0.1356583285331726,0.1940076792240143,0.1971730148792267,0.1977354943752289,0.1320560956001282,0.1978644275665283
