Real Power (P),Real Energy (Pt),Reactive Power (Q),Reactive Energy (Qt),Apparent Power (S),Apparent Energy (St),day_of_week,month
0.8381997536610886,1.5605852225391963,2.155794679262748,-0.7058769282691014,0.2871598888018805,1.2308987690485027,1.0,0.2727272727272727
0.6066995586802437,-0.1125737587555441,0.787628953662087,0.0149080152293953,2.1209147902802865,0.8637408955204741,0.0,0.2727272727272727
0.453933668303307,0.5303173229137997,0.8241873947424645,0.6305236590605022,0.7592112407288811,0.2396195261279115,0.1666666666666666,0.2727272727272727
0.612529851173987,0.5576782397540623,0.6314987926140667,0.7666269351368388,0.8378492693283872,0.5736965545092073,0.3333333333333333,0.2727272727272727
0.6170509905813575,0.6027172183186306,0.5461464269278427,0.9262539219830914,0.7911739197314662,0.7876348088086114,0.5,0.2727272727272727
0.6132844888523774,0.8135451123859154,0.6469995618222122,0.7297121236268781,0.654634885644167,0.2492114444598107,0.6666666666666666,0.2727272727272727
0.5205352196091169,0.1887489493404197,0.1854842728895449,0.4272810594975942,0.8926597192806427,2.117424685454852,0.8333333333333333,0.2727272727272727
0.394011138070038,0.389201488290427,1.952186338056047,-0.1737966054376736,0.8216429093591667,1.1338790641021337,1.0,0.2727272727272727
0.2719279559826528,-0.112864176428689,-0.1659190852744789,1.2302676563232755,-1.134541340258051,-0.3457238555078173,0.0,0.2727272727272727
0.2421135586420342,-0.2024349937235581,-0.2896541183099154,0.4326120913573845,0.6957801266976013,0.3034979910746668,0.1666666666666666,0.2727272727272727
0.2278547274707219,0.4247336849546146,0.2545747417863931,0.0479621718577057,0.2065884096077542,0.3007164263298847,0.3333333333333333,0.2727272727272727
0.5116558087996483,0.3961379483591228,0.5412823315102001,0.1816548199039673,0.108027769753823,1.4941336406136791,0.5,0.2727272727272727
0.2669425711174368,1.251014546876699,0.2450834558568288,1.0716483198935762,0.3300466222102715,0.9819574704746936,0.6666666666666666,0.2727272727272727
0.4086921842462219,-0.2075321447684849,1.817858850529504,1.3011587932892297,2.374158900040105,-0.7024317077468867,0.8333333333333333,0.2727272727272727
